design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72806470.0,611,39.72,45.111,1
adaptec1,n2,72928740.0,419,52.54,61.88,1
adaptec2,center (baseline),81961440.0,640,32.3,38.378,1
adaptec2,n2,83415150.0,423,54.913,62.301,1
adaptec3,center (baseline),193050900.0,679,33.41,45.353,1
adaptec3,n2,193135900.0,448,91.06700000000001,111.874,1
adaptec4,center (baseline),173618600.0,715,27.56,40.605,1
adaptec4,n2,178137600.0,486,83.49999999999997,95.66799999999998,1
bigblue1,center (baseline),89260190.0,677,16.71,26.866,1
bigblue1,n2,89471350.0,449,40.352000000000004,49.257999999999996,1
bigblue2,center (baseline),136917500.0,664,36.93,50.48,1
bigblue2,n2,138292900.0,458,109.89099999999996,128.21299999999997,1
bigblue3,center (baseline),304226100.0,995,64.35,92.32,1
bigblue3,n2,340056700.0,783,224.02700000000004,251.37500000000006,1
bigblue4,center (baseline),742596700.0,846,77.6,136.478,1
bigblue4,n2,753256400.0,547,444.33500000000004,527.377,1
