design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72789740.0,611,6.51,9.929,1
adaptec1,uniform,73214800.0,381,2.7690000000000055,6.236000000000004,1
adaptec1,conn-grid,72850930.0,611,7.3189999999999955,10.797999999999995,1
adaptec1,cap-spread,72734510.0,473,14.17,17.677,1
adaptec2,center (baseline),81894970.0,646,8.8,13.048,1
adaptec2,uniform,81659150.0,396,3.4089999999999847,7.699999999999996,1
adaptec2,conn-grid,83623900.0,626,9.724999999999994,13.965999999999994,1
adaptec2,cap-spread,81249360.0,558,32.88,37.21,1
adaptec3,center (baseline),193019100.0,679,14.31,22.121,1
adaptec3,uniform,194454800.0,412,2.1619999999999777,9.919999999999987,1
adaptec3,conn-grid,193079900.0,657,17.408999999999992,25.22599999999997,1
adaptec3,cap-spread,195251100.0,564,43.25,51.194,1
adaptec4,center (baseline),173558000.0,716,15.36,23.666,1
adaptec4,uniform,180041400.0,420,13.764999999999986,22.076999999999998,1
adaptec4,conn-grid,179724200.0,677,16.98199999999997,25.312999999999988,1
adaptec4,cap-spread,179160200.0,565,46.47,54.703,1
bigblue1,center (baseline),89249540.0,682,7.6,12.217,1
bigblue1,uniform,89453140.0,407,1.483000000000004,6.048000000000016,1
bigblue1,conn-grid,89126340.0,688,8.556000000000012,13.15900000000002,1
bigblue1,cap-spread,89449740.0,518,15.52,20.165,1
bigblue2,center (baseline),136864000.0,674,14.6,24.184,1
bigblue2,uniform,141066200.0,409,1.3660000000000139,10.893,1
bigblue2,conn-grid,138010400.0,623,16.619999999999976,26.030999999999977,1
bigblue2,cap-spread,137396800.0,571,42.01,51.741,1
bigblue3,center (baseline),304354800.0,993,46.62,64.985,1
bigblue3,uniform,319655200.0,723,38.44200000000001,56.90100000000001,1
bigblue3,conn-grid,307872100.0,1017,51.377999999999986,69.88900000000001,1
bigblue3,cap-spread,367489900.0,872,128.04,146.473,1
bigblue4,center (baseline),742640300.0,845,52.85,94.265,1
bigblue4,uniform,771175000.0,507,4.831000000000017,44.500999999999976,1
bigblue4,conn-grid,742841100.0,804,63.530000000000086,103.80400000000009,1
bigblue4,cap-spread,768009900.0,708,251.34,291.458,1
