design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72806470.0,611,39.72,45.111,1
adaptec1,conngrid,72858150.0,541,42.24700000000001,51.621,1
adaptec1,obsfield,72783140.0,545,46.316999999999986,52.298999999999985,1
adaptec1,obsspread,72978100.0,419,39.79900000000001,46.04100000000001,1
adaptec1,shrink001,72837360.0,605,31.095000000000006,36.312000000000005,1
adaptec2,center (baseline),81961440.0,640,32.3,38.378,1
adaptec2,conngrid,82433280.0,571,36.68399999999999,48.552,1
adaptec2,obsfield,82267010.0,540,50.976,62.56299999999999,1
adaptec2,obsspread,82892510.0,427,72.88000000000001,80.59100000000001,1
adaptec2,shrink001,81869300.0,646,44.917,51.150000000000006,1
adaptec3,center (baseline),193050900.0,679,33.41,45.353,1
adaptec3,conngrid,194112100.0,572,54.90299999999998,66.021,1
adaptec3,obsfield,194276200.0,573,46.527,61.403000000000006,1
adaptec3,obsspread,193339100.0,454,70.90199999999999,91.423,1
adaptec3,shrink001,192816300.0,688,49.67400000000001,65.531,1
adaptec4,center (baseline),173618600.0,715,27.56,40.605,1
adaptec4,conngrid,173968800.0,603,42.42299999999999,54.632999999999996,1
adaptec4,obsfield,173707000.0,595,51.289000000000016,70.40800000000002,1
adaptec4,obsspread,176054800.0,500,120.09600000000002,140.60199999999998,1
adaptec4,shrink001,173743500.0,713,52.77100000000004,74.27200000000005,1
bigblue1,center (baseline),89260190.0,677,16.71,26.866,1
bigblue1,conngrid,89280840.0,642,38.213,44.48,1
bigblue1,obsfield,89268900.0,647,40.11699999999999,50.07599999999999,1
bigblue1,obsspread,89451790.0,459,61.00099999999999,71.91199999999999,1
bigblue1,shrink001,89266680.0,672,39.892999999999994,51.324999999999996,1
bigblue2,center (baseline),136917500.0,664,36.93,50.48,1
bigblue2,conngrid,138198300.0,590,43.31199999999998,60.912000000000006,1
bigblue2,obsfield,138275300.0,595,56.728999999999985,80.30699999999999,1
bigblue2,obsspread,138572900.0,479,93.33900000000001,112.95400000000002,1
bigblue2,shrink001,136843700.0,658,53.393,68.07400000000001,1
bigblue3,center (baseline),304226100.0,995,64.35,92.32,1
bigblue3,conngrid,306852900.0,903,91.51899999999998,117.06900000000002,1
bigblue3,obsfield,306495600.0,908,110.27800000000002,151.62700000000007,1
bigblue3,obsspread,332423400.0,816,262.024,298.325,1
bigblue3,shrink001,303932100.0,1025,94.36399999999998,121.04399999999998,1
bigblue4,center (baseline),742596700.0,846,77.6,136.478,1
bigblue4,conngrid,742230100.0,725,85.12099999999998,173.79699999999997,1
bigblue4,obsfield,742084200.0,753,117.47800000000001,219.144,1
bigblue4,obsspread,751959200.0,559,476.51599999999996,547.043,1
bigblue4,shrink001,742117200.0,921,107.01400000000001,196.42200000000003,1
