design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center,72806470.0,611,39.72,45.111,1
adaptec1,shrink-001,72888990.0,656,35.568,43.795,1
adaptec1,shrink-010,72900750.0,647,43.714000000000006,49.49100000000001,1
adaptec2,center,81961440.0,640,32.3,38.378,1
adaptec2,shrink-001,83401070.0,670,57.24000000000001,69.267,1
adaptec2,shrink-010,83822420.0,652,41.090999999999994,47.269999999999996,1
adaptec4,center,173618600.0,715,27.56,40.605,1
adaptec4,shrink-001,178048900.0,729,53.62300000000002,74.483,1
adaptec4,shrink-010,178288900.0,711,55.036,75.786,1
bigblue3,center,304226100.0,995,64.35,92.32,1
bigblue3,shrink-001,305822800.0,1101,112.90200000000004,153.151,1
bigblue3,shrink-010,306911300.0,1070,109.68,136.142,1
bigblue4,center,742596700.0,846,77.6,136.478,1
bigblue4,shrink-001,741477900.0,933,93.14699999999993,195.41899999999993,1
bigblue4,shrink-010,742206200.0,885,115.60799999999995,219.67899999999997,1
