design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72806470.0,611,39.72,45.111,1
adaptec1,gpos,74161820.0,849,9.513999999999996,14.996000000000002,1
adaptec1,gneg,74849460.0,717,7.744999999999997,12.894999999999996,1
adaptec1,npos,73500460.0,736,7.853000000000005,13.010000000000002,1
adaptec1,nneg,74162300.0,719,8.675,14.035,1
adaptec1,nshuf,72980050.0,888,8.25699999999999,13.48299999999999,1
adaptec2,center (baseline),81961440.0,640,32.3,38.378,1
adaptec2,gpos,82534300.0,788,9.418,15.299999999999997,1
adaptec2,gneg,81837230.0,758,10.10499999999999,16.350999999999992,1
adaptec2,npos,81862300.0,750,8.954,14.972000000000001,1
adaptec2,nneg,81481600.0,748,9.557000000000002,15.847000000000001,1
adaptec2,nshuf,81757740.0,881,11.803999999999995,17.80899999999999,1
adaptec3,center (baseline),193050900.0,679,33.41,45.353,1
adaptec3,gpos,200084600.0,1001,15.668000000000035,27.232000000000028,1
adaptec3,gneg,195197800.0,898,13.482000000000014,24.726000000000013,1
adaptec3,npos,195643500.0,908,13.444000000000003,24.429000000000016,1
adaptec3,nneg,194846900.0,815,13.409999999999997,24.959999999999994,1
adaptec3,nshuf,193983600.0,989,13.915999999999997,24.65299999999999,1
adaptec4,center (baseline),173618600.0,715,27.56,40.605,1
adaptec4,gpos,182884700.0,1061,16.08899999999997,27.72199999999995,1
adaptec4,gneg,179601200.0,868,12.958000000000027,24.64100000000002,1
adaptec4,npos,179809300.0,918,13.515000000000015,24.701000000000022,1
adaptec4,nneg,176534800.0,858,14.42900000000003,27.19100000000003,1
adaptec4,nshuf,174683500.0,1098,13.981000000000023,25.18900000000002,1
bigblue1,center (baseline),89260190.0,677,16.71,26.866,1
bigblue1,gpos,89878980.0,737,8.739000000000004,15.520000000000003,1
bigblue1,gneg,89575390.0,756,9.239000000000004,15.654000000000003,1
bigblue1,npos,89611820.0,688,8.448999999999991,14.944999999999986,1
bigblue1,nneg,89349040.0,705,9.05700000000001,16.23300000000001,1
bigblue1,nshuf,89535950.0,888,9.255999999999986,15.627999999999986,1
bigblue2,center (baseline),136917500.0,664,36.93,50.48,1
bigblue2,gpos,142096100.0,878,14.036999999999964,28.09399999999998,1
bigblue2,gneg,138580600.0,808,13.811000000000007,27.085000000000022,1
bigblue2,npos,139552700.0,829,14.64200000000001,28.41200000000002,1
bigblue2,nneg,138453200.0,790,12.77900000000001,26.25800000000001,1
bigblue2,nshuf,138639900.0,958,14.737999999999971,28.06499999999997,1
bigblue3,center (baseline),304226100.0,995,64.35,92.32,1
bigblue3,gpos,381753300.0,1554,31.627999999999872,56.860999999999876,1
bigblue3,gneg,353347600.0,1606,33.62599999999992,60.557999999999936,1
bigblue3,npos,407879600.0,1481,29.199999999999932,54.03099999999995,1
bigblue3,nneg,380188100.0,1381,29.709000000000003,55.92900000000003,1
bigblue3,nshuf,344152200.0,1829,35.53599999999989,61.84199999999993,1
bigblue4,center (baseline),742596700.0,846,77.6,136.478,1
bigblue4,gpos,767551000.0,1020,33.61200000000002,94.98499999999996,1
bigblue4,gneg,755980600.0,1071,33.315999999999974,94.16699999999997,1
bigblue4,npos,757044400.0,1034,30.605000000000018,87.44400000000007,1
bigblue4,nneg,754426800.0,1035,34.34500000000003,90.95300000000003,1
bigblue4,nshuf,743077100.0,1180,33.78699999999992,89.96299999999997,1
