design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72806470.0,611,39.72,45.111,1
adaptec1,gift,73171200.0,421,40.815,50.998999999999995,1
adaptec2,center (baseline),81961440.0,640,32.3,38.378,1
adaptec2,gift,81499260.0,426,32.13799999999999,38.068,1
adaptec3,center (baseline),193050900.0,679,33.41,45.353,1
adaptec3,gift,194195800.0,451,32.62199999999999,43.751,1
adaptec4,center (baseline),173618600.0,715,27.56,40.605,1
adaptec4,gift,177890100.0,471,41.507000000000005,64.25900000000001,1
bigblue1,center (baseline),89260190.0,677,16.71,26.866,1
bigblue1,gift,89558250.0,448,38.637,50.051,1
bigblue2,center (baseline),136917500.0,664,36.93,50.48,1
bigblue2,gift,141226200.0,469,42.528999999999996,64.148,1
bigblue3,center (baseline),304226100.0,995,64.35,92.32,1
bigblue3,gift,319848800.0,956,120.024,158.586,1
bigblue4,center (baseline),742596700.0,846,77.6,136.478,1
bigblue4,gift,768004600.0,563,108.78299999999996,190.54399999999998,1
