design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72806470.0,611,39.72,45.111,1
adaptec1,entry,73263570.0,447,7.0689999999999955,14.209999999999994,1
adaptec2,center (baseline),81961440.0,640,32.3,38.378,1
adaptec2,entry,81465490.0,432,7.2159999999999975,14.031999999999993,1
adaptec3,center (baseline),193050900.0,679,33.41,45.353,1
adaptec3,entry,194010000.0,464,22.73300000000002,35.00400000000002,1
adaptec4,center (baseline),173618600.0,715,27.56,40.605,1
adaptec4,entry,176864800.0,484,36.96700000000001,50.05000000000001,1
bigblue1,center (baseline),89260190.0,677,16.71,26.866,1
bigblue1,entry,89473940.0,483,30.541999999999994,37.451,1
bigblue2,center (baseline),136917500.0,664,36.93,50.48,1
bigblue2,entry,138988800.0,484,29.241000000000014,43.65700000000001,1
bigblue3,center (baseline),304226100.0,995,64.35,92.32,1
bigblue3,entry,312968500.0,994,92.71100000000001,121.01700000000005,1
bigblue4,center (baseline),742596700.0,846,77.6,136.478,1
bigblue4,entry,770444500.0,577,50.228000000000065,109.95400000000006,1
