design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center (baseline),72806470.0,611,39.72,45.111,1
adaptec1,s070,72728570.0,818,11.459999999999994,17.123999999999995,1
adaptec1,s143,72900800.0,449,6.706999999999997,12.209999999999997,1
adaptec1,s200,73841660.0,334,6.423,12.147,1
adaptec2,center (baseline),81961440.0,640,32.3,38.378,1
adaptec2,s070,81855370.0,899,10.94700000000001,17.4,1
adaptec2,s143,82301740.0,477,9.055999999999994,16.549999999999994,1
adaptec2,s200,82256900.0,359,7.051000000000002,13.767000000000003,1
adaptec3,center (baseline),193050900.0,679,33.41,45.353,1
adaptec3,s070,192585200.0,915,16.34400000000001,29.613000000000014,1
adaptec3,s143,194387700.0,517,11.614000000000004,23.01100000000001,1
adaptec3,s200,196212900.0,396,9.309000000000005,20.662,1
adaptec4,center (baseline),173618600.0,715,27.56,40.605,1
adaptec4,s070,173110100.0,960,14.518,26.69199999999998,1
adaptec4,s143,173699300.0,520,11.620000000000019,24.125000000000014,1
adaptec4,s200,177135800.0,393,8.991,21.438999999999993,1
bigblue1,center (baseline),89260190.0,677,16.71,26.866,1
bigblue1,s070,89118170.0,868,9.050999999999995,15.780999999999999,1
bigblue1,s143,89550080.0,521,7.906000000000006,15.419000000000004,1
bigblue1,s200,90126100.0,384,6.718,13.59,1
bigblue2,center (baseline),136917500.0,664,36.93,50.48,1
bigblue2,s070,137096700.0,885,15.005000000000024,29.057000000000045,1
bigblue2,s143,138150400.0,489,16.74799999999999,32.557,1
bigblue2,s200,139873600.0,361,10.556999999999995,24.247999999999998,1
bigblue3,center (baseline),304226100.0,995,64.35,92.32,1
bigblue3,s070,304283300.0,1294,30.449000000000012,62.77699999999999,1
bigblue3,s143,309193900.0,741,22.699000000000012,50.74300000000002,1
bigblue3,s200,319494700.0,582,18.857999999999976,44.93999999999997,1
bigblue4,center (baseline),742596700.0,846,77.6,136.478,1
bigblue4,s070,740946300.0,1126,31.644999999999982,90.38400000000001,1
bigblue4,s143,743667600.0,626,29.287999999999954,95.27199999999999,1
bigblue4,s200,765309500.0,473,24.170000000000016,80.39300000000003,1
