design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center,72806470.0,611,39.72,45.111,1
adaptec1,conn-grid,72851980.0,603,39.70000000000002,45.542000000000016,1
adaptec1,cap-spread,72749020.0,471,19.59,24.982,1
adaptec1,obsfield,72848420.0,610,36.053000000000026,41.46600000000002,1
adaptec1,obsspread,72749300.0,466,42.85200000000002,48.52600000000001,1
adaptec2,center,81961440.0,640,32.3,38.378,1
adaptec2,conn-grid,83631300.0,636,40.01700000000001,45.97500000000001,1
adaptec2,cap-spread,81232590.0,557,75.81,85.409,1
adaptec2,obsfield,82359210.0,601,35.5,41.87900000000002,1
adaptec2,obsspread,81300800.0,533,64.341,73.24499999999999,1
adaptec3,center,193050900.0,679,33.41,45.353,1
adaptec3,conn-grid,193139400.0,657,33.341999999999985,46.90699999999998,1
adaptec3,cap-spread,195148000.0,564,59.73,71.636,1
adaptec3,obsfield,193553400.0,616,60.531000000000006,72.084,1
adaptec3,obsspread,193765200.0,538,70.70100000000002,84.89300000000003,1
adaptec4,center,173618600.0,715,27.56,40.605,1
adaptec4,conn-grid,179875300.0,657,68.19200000000001,80.19799999999998,1
adaptec4,cap-spread,178978700.0,585,121.07,136.202,1
adaptec4,obsfield,179843300.0,666,60.58600000000007,82.51900000000006,1
adaptec4,obsspread,179631600.0,555,86.50200000000007,98.58799999999997,1
bigblue1,center,89260190.0,677,16.71,26.866,1
bigblue1,conn-grid,89141050.0,684,56.232,63.27799999999999,1
bigblue1,cap-spread,89459220.0,514,49.36,58.394,1
bigblue1,obsfield,89111790.0,686,56.095999999999975,63.34900000000002,1
bigblue1,obsspread,89443030.0,517,51.55900000000001,61.272000000000006,1
bigblue2,center,136917500.0,664,36.93,50.48,1
bigblue2,conn-grid,138076700.0,622,53.057000000000016,77.83300000000003,1
bigblue2,cap-spread,137400100.0,570,109.46,131.692,1
bigblue2,obsfield,138197200.0,629,54.46800000000002,81.81600000000003,1
bigblue2,obsspread,137361800.0,570,93.85499999999996,107.63,1
bigblue3,center,304226100.0,995,64.35,92.32,1
bigblue3,conn-grid,307718700.0,1018,109.82900000000006,158.33800000000008,1
bigblue3,cap-spread,367211700.0,873,243.27,295.005,1
bigblue3,obsfield,307008100.0,1013,103.23900000000003,128.68600000000004,1
bigblue3,obsspread,367765900.0,879,254.26300000000003,279.9870000000001,1
bigblue4,center,742596700.0,846,77.6,136.478,1
bigblue4,conn-grid,742686500.0,809,93.66199999999981,204.41299999999978,1
bigblue4,cap-spread,768585200.0,704,469.72,563.39,1
bigblue4,obsfield,744933200.0,781,110.44200000000023,216.6600000000003,1
bigblue4,obsspread,773017400.0,692,425.61999999999966,483.99199999999973,1
