design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center,72806470.0,611,39.72,45.111,1
adaptec1,gmono,72874740.0,590,31.738999999999997,36.533,1
adaptec1,warm,72910370.0,629,44.903,50.586999999999996,1
adaptec1,warmmono,72914340.0,626,51.79,61.431000000000004,1
adaptec2,center,81961440.0,640,32.3,38.378,1
adaptec2,gmono,83358610.0,652,45.87299999999999,55.721000000000004,1
adaptec2,warm,84089480.0,644,37.727,43.88999999999999,1
adaptec2,warmmono,84238180.0,671,59.54599999999999,71.38900000000001,1
adaptec4,center,173618600.0,715,27.56,40.605,1
adaptec4,gmono,179053100.0,680,53.412000000000006,76.132,1
adaptec4,warm,179311900.0,684,51.148000000000025,69.273,1
adaptec4,warmmono,178888800.0,712,47.35000000000002,66.238,1
bigblue3,center,304226100.0,995,64.35,92.32,1
bigblue3,gmono,319254900.0,1069,116.60100000000006,170.36900000000003,1
bigblue3,warm,309766900.0,1421,153.97100000000006,197.15100000000007,1
bigblue3,warmmono,309494800.0,1539,156.1860000000001,203.3230000000001,1
