design,variant,final_wHPWL,gp_iters,nlp_time_s,total_time_s,legal
adaptec1,center,72789740.0,611,6.51,9.929,1
adaptec1,uniform,73214800.0,381,2.7690000000000055,6.236000000000004,1
adaptec2,center,81894970.0,646,8.8,13.048,1
adaptec2,uniform,81659150.0,396,3.4089999999999847,7.699999999999996,1
adaptec3,center,193019100.0,679,14.31,22.121,1
adaptec3,uniform,194454800.0,412,2.1619999999999777,9.919999999999987,1
adaptec4,center,173558000.0,716,15.36,23.666,1
adaptec4,uniform,180041400.0,420,13.764999999999986,22.076999999999998,1
bigblue1,center,89249540.0,682,7.6,12.217,1
bigblue1,uniform,89453140.0,407,1.483000000000004,6.048000000000016,1
bigblue2,center,136864000.0,674,14.6,24.184,1
bigblue2,uniform,141066200.0,409,1.3660000000000139,10.893,1
bigblue3,center,304354800.0,993,46.62,64.985,1
bigblue3,uniform,319655200.0,723,38.44200000000001,56.90100000000001,1
bigblue4,center,742640300.0,845,52.85,94.265,1
bigblue4,uniform,771175000.0,507,4.831000000000017,44.500999999999976,1
